date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/7/2025,Boulder,"Foothills
Community Park",BC,Culex pipiens,,CDC Light Trap,BC-01
7/7/2025,Boulder,"Foothills
Community Park",BC,Culex tarsalis,5,CDC Light Trap,BC-01
7/7/2025,Boulder,"23rd/
Meadow",BC,Culex pipiens,4,CDC Light Trap,BC-02
7/7/2025,Boulder,"23rd/
Meadow",BC,Culex tarsalis,29,CDC Light Trap,BC-02
7/7/2025,Boulder,"Christensen
Park",BC,Culex pipiens,,CDC Light Trap,BC-03
7/7/2025,Boulder,"Christensen
Park",BC,Culex tarsalis,2,CDC Light Trap,BC-03
7/7/2025,Boulder,"South Boulder
Rec. Center",BC,Culex pipiens,2,CDC Light Trap,BC-04
7/7/2025,Boulder,"South Boulder
Rec. Center",BC,Culex tarsalis,16,CDC Light Trap,BC-04
7/7/2025,Boulder,"Broadway/
Baseline",BC,Culex pipiens Trap Malfunction,,CDC Light Trap,BC-05
7/7/2025,Boulder,"Broadway/
Baseline",BC,Culex tarsalis Trap Malfunction,3,CDC Light Trap,BC-05
7/7/2025,Boulder,"Broadway/
Alpine",BC,Culex pipiens,3,CDC Light Trap,BC-06
7/7/2025,Boulder,"Broadway/
Alpine",BC,Culex tarsalis,2,CDC Light Trap,BC-06
7/7/2025,Boulder,"Table Mesa/
Stevens",BC,Culex pipiens,13,CDC Light Trap,BC-07
7/7/2025,Boulder,"Table Mesa/
Stevens",BC,Culex tarsalis,15,CDC Light Trap,BC-07
7/7/2025,Boulder,"7th/
Pennsylvania",BC,Culex pipiens,,CDC Light Trap,BC-08
7/7/2025,Boulder,"7th/
Pennsylvania",BC,Culex tarsalis,5,CDC Light Trap,BC-08
7/7/2025,Boulder,Burke Park,BC,Culex pipiens,,CDC Light Trap,BC-10
7/7/2025,Boulder,Burke Park,BC,Culex tarsalis,15,CDC Light Trap,BC-10
7/7/2025,Boulder,"Stazio
Ballfields (S)",BC,Culex pipiens,1,CDC Light Trap,BC-11
7/7/2025,Boulder,"Stazio
Ballfields (S)",BC,Culex tarsalis,110,CDC Light Trap,BC-11
7/7/2025,Boulder,"E. Boulder
Rec. Center",BC,Culex pipiens,,CDC Light Trap,BC-13
7/7/2025,Boulder,"E. Boulder
Rec. Center",BC,Culex tarsalis,55,CDC Light Trap,BC-13
7/7/2025,Boulder,"Greenbelt
Meadows ",BC,Culex pipiens,,CDC Light Trap,BC-14
7/7/2025,Boulder,"Greenbelt
Meadows ",BC,Culex tarsalis,30,CDC Light Trap,BC-14
7/7/2025,Boulder,"Rolling Rock
Ranch",BC,Culex pipiens,,CDC Light Trap,BC-20
7/7/2025,Boulder,"Rolling Rock
Ranch",BC,Culex tarsalis,60,CDC Light Trap,BC-20
7/7/2025,Boulder,"Sombrero
Marsh (S)",BC,Culex pipiens,,CDC Light Trap,BC-22
7/7/2025,Boulder,"Sombrero
Marsh (S)",BC,Culex tarsalis,38,CDC Light Trap,BC-22
7/7/2025,Boulder,"Papini Natural 
Area Park (S)",BC,Culex pipiens,3,CDC Light Trap,BC-24
7/7/2025,Boulder,"Papini Natural 
Area Park (S)",BC,Culex tarsalis,118,CDC Light Trap,BC-24
7/7/2025,Boulder,"Tom Watson 
Park (S)",BC,Culex pipiens,4,CDC Light Trap,BC-25
7/7/2025,Boulder,"Tom Watson
Park (S)",BC,Culex tarsalis,350,CDC Light Trap,BC-25
7/7/2025,Boulder,"Sawhill
Ponds (S)",BC,Culex pipiens,,CDC Light Trap,BC-26
7/7/2025,Boulder,"Sawhill
Ponds (S)",BC,Culex tarsalis,10,CDC Light Trap,BC-26
7/7/2025,Boulder,"Goose
Creek",BC,Culex pipiens,2,CDC Light Trap,BC-27
7/7/2025,Boulder,"Goose
Creek",BC,Culex tarsalis,28,CDC Light Trap,BC-27
7/7/2025,Boulder,"Old Tale Rd./
Gapter ",BC,Culex pipiens,1,CDC Light Trap,BC-28
7/7/2025,Boulder,"Old Tale Rd./
Gapter ",BC,Culex tarsalis,24,CDC Light Trap,BC-28
