date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/10/2026,Boulder,"Foothills
Community Park",BC,Culex pipiens,23,CDC Light Trap,BC-01
8/10/2026,Boulder,"23rd/
Meadow",BC,Culex pipiens,4,CDC Light Trap,BC-02
8/10/2026,Boulder,"Christensen
Park",BC,Culex pipiens,29,CDC Light Trap,BC-03
8/10/2026,Boulder,"South Boulder
Rec. Center",BC,Culex pipiens,10,CDC Light Trap,BC-04
8/10/2026,Boulder,"Broadway/
Baseline",BC,Culex pipiens,6,CDC Light Trap,BC-05
8/10/2026,Boulder,"Broadway/
Alpine",BC,Culex pipiens,,CDC Light Trap,BC-06
8/10/2026,Boulder,"Table Mesa/
Stevens",BC,Culex pipiens,11,CDC Light Trap,BC-07
8/10/2026,Boulder,"7th/
Pennsylvania",BC,Culex pipiens,5,CDC Light Trap,BC-08
8/10/2026,Boulder,Burke Park,BC,Culex pipiens,11,CDC Light Trap,BC-10
8/10/2026,Boulder,"Stazio
Ballfields (S)",BC,Culex pipiens,14,CDC Light Trap,BC-11
8/10/2026,Boulder,"E. Boulder
Rec. Center",BC,Culex pipiens,13,CDC Light Trap,BC-13
8/10/2026,Boulder,"Greenbelt
Meadows ",BC,Culex pipiens,9,CDC Light Trap,BC-14
8/10/2026,Boulder,"Rolling Rock
Ranch",BC,Culex pipiens,4,CDC Light Trap,BC-20
8/10/2026,Boulder,"Sombrero
Marsh (S)",BC,Culex pipiens,3,CDC Light Trap,BC-22
8/10/2026,Boulder,"Papini Natural 
Area Park (S)",BC,Culex pipiens,1,CDC Light Trap,BC-24
8/10/2026,Boulder,"Tom Watson 
Park (S)",BC,Culex pipiens,26,CDC Light Trap,BC-25
8/10/2026,Boulder,"Sawhill
Ponds (S)",BC,Culex pipiens,16,CDC Light Trap,BC-26
8/10/2026,Boulder,"Goose
Creek",BC,Culex pipiens,10,CDC Light Trap,BC-27
8/10/2026,Boulder,"Old Tale Rd./
Gapter ",BC,Culex pipiens,,CDC Light Trap,BC-28
8/10/2026,Boulder,"Foothills
Community Park",BC,Culex tarsalis,7,CDC Light Trap,BC-01
8/10/2026,Boulder,"23rd/
Meadow",BC,Culex tarsalis,14,CDC Light Trap,BC-02
8/10/2026,Boulder,"Christensen
Park",BC,Culex tarsalis,73,CDC Light Trap,BC-03
8/10/2026,Boulder,"South Boulder
Rec. Center",BC,Culex tarsalis,7,CDC Light Trap,BC-04
8/10/2026,Boulder,"Broadway/
Baseline",BC,Culex tarsalis,2,CDC Light Trap,BC-05
8/10/2026,Boulder,"Broadway/
Alpine ",BC,Culex tarsalis,,CDC Light Trap,BC-06
8/10/2026,Boulder,"Table Mesa/
Stevens",BC,Culex tarsalis,6,CDC Light Trap,BC-07
8/10/2026,Boulder,"7th/
Pennsylvania",BC,Culex tarsalis,4,CDC Light Trap,BC-08
8/10/2026,Boulder,Burke Park,BC,Culex tarsalis,6,CDC Light Trap,BC-10
8/10/2026,Boulder,"Stazio
Ballfields (S)",BC,Culex tarsalis,26,CDC Light Trap,BC-11
8/10/2026,Boulder,"E. Boulder
Rec. Center",BC,Culex tarsalis,51,CDC Light Trap,BC-13
8/10/2026,Boulder,"Greenbelt
Meadows ",BC,Culex tarsalis,46,CDC Light Trap,BC-14
8/10/2026,Boulder,"Rolling Rock
Ranch",BC,Culex tarsalis,46,CDC Light Trap,BC-20
8/10/2026,Boulder,"Sombrero
Marsh (S)",BC,Culex tarsalis,21,CDC Light Trap,BC-22
8/10/2026,Boulder,"Papini Natural 
Area Park (S)",BC,Culex tarsalis,14,CDC Light Trap,BC-24
8/10/2026,Boulder,"Tom Watson
Park (S)",BC,Culex tarsalis,59,CDC Light Trap,BC-25
8/10/2026,Boulder,"Sawhill
Ponds (S)",BC,Culex tarsalis,46,CDC Light Trap,BC-26
8/10/2026,Boulder,"Goose
Creek",BC,Culex tarsalis,31,CDC Light Trap,BC-27
8/10/2026,Boulder,"Old Tale Rd./
Gapter ",BC,Culex tarsalis,21,CDC Light Trap,BC-28
