"csu_id","year","week","target_name","test_code","cq","copies","amp_status"
"RMRP000726",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000726",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000727",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000727",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000728",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000728",2025,28,"WNV",0,39.82,0.2,"Amp"
"RMRP000729",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000729",2025,28,"WNV",0,55.55,0,"Amp"
"RMRP000730",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000730",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000731",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000731",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000732",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000732",2025,28,"WNV",0,55.55,0,"Amp"
"RMRP000733",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000733",2025,28,"WNV",1,26.65,2920,"Amp"
"RMRP000734",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000734",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000735",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000735",2025,28,"WNV",0,55.55,0,"Amp"
"RMRP000736",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000736",2025,28,"WNV",0,37.34,1.22,"Amp"
"RMRP000737",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000737",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000738",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000738",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000739",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000739",2025,28,"WNV",1,27.43,1654.79,"Amp"
"RMRP000740",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000740",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000741",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000741",2025,28,"WNV",0,55.55,0,"Amp"
"RMRP000742",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000742",2025,28,"WNV",0,31.16,109.7,"Amp"
"RMRP000743",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000743",2025,28,"WNV",0,55.55,0,"No Amp"
"RMRP000744",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000744",2025,28,"WNV",1,11.85,141509104,"Inconclusive"
"RMRP000745",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000745",2025,28,"WNV",1,24.98,9884.82,"Amp"
"RMRP000746",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000746",2025,28,"WNV",1,28.43,799.92,"Amp"
"RMRP000747",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000747",2025,29,"WNV",1,17.34,1088814.88,"Inconclusive"
"RMRP000748",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000748",2025,29,"WNV",0,31.82,40.19,"Amp"
"RMRP000749",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000749",2025,28,"WNV",0,29.08,498.4,"Amp"
"RMRP000750",2025,28,"SLEV",0,55.55,0,"No Amp"
"RMRP000750",2025,28,"WNV",0,29.33,416.3,"Amp"
"RMRP000751",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000751",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000752",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000752",2025,29,"WNV",1,25.26,4100.26,"Amp"
"RMRP000753",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000753",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000754",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000754",2025,29,"WNV",0,31.58,47.55,"Amp"
"RMRP000755",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000755",2025,29,"WNV",1,26.25,4120.7,"Amp"
"RMRP000756",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000756",2025,29,"WNV",1,27.7,1440.89,"Amp"
"RMRP000757",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000757",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000758",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000758",2025,29,"WNV",0,30.36,210.2,"Amp"
"RMRP000759",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000759",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000760",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000760",2025,29,"WNV",0,33.76,17.94,"Amp"
"RMRP000761",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000761",2025,29,"WNV",0,35.37,5.61,"Amp"
"RMRP000762",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000762",2025,29,"WNV",0,34.9,7.87,"Amp"
"RMRP000763",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000763",2025,29,"WNV",1,26.99,2406.72,"Amp"
"RMRP000764",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000764",2025,29,"WNV",0,29.99,275.85,"Amp"
"RMRP000765",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000765",2025,29,"WNV",1,26.38,3761.61,"Amp"
"RMRP000766",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000766",2025,29,"WNV",0,55.55,0,"Amp"
"RMRP000767",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000767",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000768",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000768",2025,29,"WNV",0,55.55,0,"No Amp"
"RMRP000769",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000769",2025,29,"WNV",0,55.55,0,"Amp"
"RMRP000770",2025,29,"SLEV",0,55.55,0,"No Amp"
"RMRP000770",2025,29,"WNV",1,23.64,27258.43,"Amp"
"RMRP00680",2025,23,"SLEV",0,55.55,0,NA
"RMRP00680",2025,23,"WNV",0,38.33,1.66,NA
"RMRP00681",2025,24,"SLEV",0,55.55,0,NA
"RMRP00681",2025,24,"WNV",0,55.55,0,NA
"RMRP00682",2025,24,"SLEV",0,55.55,0,NA
"RMRP00682",2025,24,"WNV",0,55.55,0,NA
"RMRP00683",2025,24,"SLEV",0,55.55,0,NA
